N_BODY	GFLOPS_GPU	GFLOPS_CPU	TIME_GPU	TIME_CPU	GPUvsCPU
256	5.736	1.894	2.285	6.919	3.028
512	26.188	1.710	2.002	30.656	15.313
768	781.224	1.845	0.151	63.921	423.318
1024	84.768	1.909	2.474	109.869	44.409
1280	129.211	1.831	2.536	178.957	70.567
1536	184.320	1.874	2.560	251.735	98.334
1792	245.791	1.848	2.613	347.540	133.004
2048	316.551	1.862	2.650	450.597	170.037
2304	394.678	1.850	2.690	573.989	213.379
N_BODY	GFLOPS_GPU	GFLOPS_CPU	TIME_GPU	TIME_CPU	GPUvsCPU
256	192.753	1.680	0.068	7.803	114.750
512	463.972	1.709	0.113	30.672	271.434
768	719.298	1.736	0.164	67.962	414.402
1024	637.432	1.798	0.329	116.665	354.605
1280	1300.317	1.770	0.252	185.132	734.651
1536	1583.420	1.766	0.298	267.241	896.782
1792	247.020	1.767	2.600	363.503	139.809
2048	2129.088	1.762	0.394	476.014	1208.157
2304	2435.053	1.796	0.436	591.113	1355.764
